[Loop 1] SMILES: CNCC=CCC=CNCCNC=C=NNC=CCC=NC=CCC=NCCNN1C2C1C23CC3C=CCNNCN=NNCCOCCN=CC=CC=CCNNCC | pIC50: 4.21 | T=1.2 | k=10
[Loop 2] SMILES: CNNC[C@]CN=O | pIC50: 4.21 | T=1.5 | k=20
[Loop 3] SMILES: C1=CN=CCN=C=NNC=CCNNCN[C@]CC1CN[C@][C@]CC[C@@][C@][C@]CC=N[C@]2[C@]#C2 | pIC50: 4.21 | T=1.5 | k=10
[Loop 4] SMILES: C1CN=CC=NCNC1N=CNCN2CC2CNCC[C@@]N[C@][C@][C@@]#C | pIC50: 4.21 | T=1.5 | k=10
[Loop 5] SMILES: C=CC=CNCC=C1[C@][C@]C2CNCCNCN=C1CNCC=N2 | pIC50: 4.21 | T=1.5 | k=5
[Loop 6] SMILES: C=C1CC=CCC=C[C@][C@]NCC1CC=CNN=C=CNNCCN=CNCNC2C=C2CCN3CCNCCNONC4[C@@]5C3CNCNCNCCNC5C4NCNCNCNC | pIC50: 4.21 | T=1.0 | k=20
[Loop 7] SMILES: C=CCN[C@][C@]CC=CC=CC=NCC1NCNC#CCC=CNCC1=O | pIC50: 4.21 | T=1.2 | k=10
[Loop 8] SMILES: C=CNNCC=CCC=CNC=CNCNCNC=C=CNCCNC=NC=CCNCC=CNCCN1[C@][C@]NCCN2CCNC=C1CC=CCN=C2CCCNNCN | pIC50: 4.21 | T=1.5 | k=5
[Loop 9] SMILES: C12[C@][C@]NCCNCCNNCC1NC=CNCNCC[C@][C@]=CCNN=C[C@@]=CCC2C=CNC#CCNC=CCN=O | pIC50: 4.21 | T=1.5 | k=20
[Loop 10] SMILES: C=CNCCNCCNCCNNCCN1C#CNC=CNNCNCC1NCC=CCCNCNN[C@][C@]CCNCNCCNCNCNCCNC=CCNC | pIC50: 4.21 | T=1.2 | k=5
[Loop 11] SMILES: CNCCNCC=NCONCC=O | pIC50: 4.21 | T=1.0 | k=10
[Loop 12] SMILES: [C@]123[C@]C1CCNCC=CNC#CCCNCC=N[C@][C@]4NCC=CNN=CNC=CNN=C4NCNC=CCNCC2=CCNNC3C=CNC=C | pIC50: 4.21 | T=1.2 | k=10
[Loop 13] SMILES: C1C=CCNNCNCNCNC=NCC=CCC=NNCC[C@][C@]C=CNNCNC=C=C=C=NOCC=C[C@]NCCN2NCC3N1CNCN[C@@]CC2NCC3C=C | pIC50: 4.21 | T=1.5 | k=10
[Loop 14] SMILES: C=C=CC1CNC1C=CNCCNNCCNCC2NNC=CNNCCNCC2C=C=CNCCNCC=CNN=CCNCC=C3CNC=CNCNCCN4C3C4CCN | pIC50: 4.21 | T=1.2 | k=5
[Loop 15] SMILES: C=NCCNCC[C@][C@]C[C@@][C@][C@]CC=CNC=CCNC=C=NCCNCNC=CNN=[C@@]1CC1C[C@@]NC#N | pIC50: 4.26 | T=1.5 | k=20
[Loop 16] SMILES: C=C=CNC=C[C@][C@]CNCCNCC=NCCCl | pIC50: 4.21 | T=1.2 | k=20
[Loop 17] SMILES: NNCNCC=CC=C[C@][C@][C@@]C=O | pIC50: 4.21 | T=1.5 | k=20
[Loop 18] SMILES: C=C1NCCNCCNCNCC1=CNCCN=CCCNCN=CCNCCNC=CCNCNCNCNCNCNCNNCC=CNC=CNCC=CC2CN2N[C@]CCNC | pIC50: 4.21 | T=1.2 | k=5
[Loop 19] SMILES: C1=CCCNNCNNCCOCC=CNC=CCNC=N1 | pIC50: 4.21 | T=1.2 | k=20
[Loop 20] SMILES: O1CNC1=CC=CC=CC=NNC=NNC=CNCC#CCN=NCNCCNNCN=NCCNCN=C2[C@@]NCN=C[C@@]CNC=NN2CN=O | pIC50: 4.21 | T=1.5 | k=10
[Loop 21] SMILES: CC=NNC=CCC=CCCN=CC=CNCNCNCCNNCCNCCNCCNCC1NCCNCNN=CCNCCNCNNC1NC=CNCNC2C=CNCNNCCNCC2CC | pIC50: 4.21 | T=1.0 | k=20
[Loop 22] SMILES: NC#CCNCCN=CC=CNCCNNCCNCNCCNC=CNCNCCNC=C=CC=C[C@][C@]CN=CN=CN=C1C2NN[C@][C@][C@@]=CNNCC1N2 | pIC50: 4.21 | T=1.2 | k=5
[Loop 23] SMILES: C[C@][C@]CNNCCNCNC=O | pIC50: 4.21 | T=1.5 | k=10
[Loop 24] SMILES: NCONCNNCNCNNCNC=CC=CC=CC=NNCCN=CNCC=CC=CCN1CC1C=CNN2C=CC=NCCNCC=NC2C=CC=CNCCNCNC=C | pIC50: 4.21 | T=1.2 | k=10
[Loop 25] SMILES: C1C=C2N1NN=CCNNCNCN2NCCC3=CC3=CNN=CC=CCCCN=CC=O | pIC50: 4.21 | T=1.5 | k=20
[Loop 26] SMILES: CCN=CCNCCNCCNCCNCNCC=CCC=CN=CC=CNCCNC=CCC=CCCNCC=CNCCNC=CNCCNCNCNC=CNCCNCC=CCNCC | pIC50: 4.21 | T=1.0 | k=5
[Loop 27] SMILES: C=CNCC=CCNCCNCCNCCNCC=CNC=CCC=NC=CNCC=CN=CCC=NC=CN1CC=NC=CC=CNCC=C1CNN | pIC50: 4.21 | T=1.0 | k=10
[Loop 28] SMILES: CC=CC=N[C@@][C@][C@]=CCC[C@@]C=NCCN=CNNC=C[C@]1[C@]NCC=CCC2NCN=C1CCNCCNOCC2=C[C@@]CNC=CCCN=NC=CNCC3NCC3CNC=CCNCC=NNNCCNC | pIC50: 4.21 | T=1.2 | k=20
[Loop 29] SMILES: CCNCNCCNCC=C1NNCCN=C=CC2CNC1=NCNCC=NCCNC2NNCCNCC=CN=O | pIC50: 4.21 | T=1.2 | k=20
[Loop 30] SMILES: C=CNCCNCCNCC=O | pIC50: 4.21 | T=1.0 | k=10
[Loop 31] SMILES: C1C=CCC#CNNNCC1CCNCCNNCCNCCNNCNCNCC=NCCN=CCNNCNC=CNCNCNC=C=CNCC=CCCN=C=CNC | pIC50: 4.21 | T=1.2 | k=5
[Loop 32] SMILES: OC=CCC=CNN=CNCC=CCC[C@@][C@]#[C@] | pIC50: 4.21 | T=1.2 | k=10
[Loop 33] SMILES: CCNCCN=C=C1CCNC=C=CNC=C=CC1CCNC=CNN=CCCNCC=CNCN=O | pIC50: 4.21 | T=1.2 | k=10
[Loop 34] SMILES: C12=CNCCNCC1CCNCCNCCNC3COCCNC[C@][C@]4N=C=CN3CNCC=NNC4C=CNN2 | pIC50: 4.21 | T=1.0 | k=20
[Loop 35] SMILES: C12NCCNC=CCN=C1C2C=CCCNC#C | pIC50: 4.21 | T=1.2 | k=5
[Loop 36] SMILES: C1CNCCNCNCCN1NCC2NC=CCC=CNCCN=C2CCNCC=NC=CNCCN=CCNC=C=CNNC=CNC=CCNCC | pIC50: 4.21 | T=1.0 | k=10
[Loop 37] SMILES: CCNNC=CNC=CNCC1NC1CCNNCNC2CN=CC=CCCNN[C@][C@]C3C2C=CCNNC=C=C4NNCC3N5CNNC#CC4CCNCC5N | pIC50: 4.21 | T=1.5 | k=5
[Loop 38] SMILES: C1CNCCNC=CNCC=CCCNCCNCNOCNCCNCC12C=C=CCC=CNC=CCCNC2C=CN=CC=CNC=NCCN=C[C@][C@]CCNN=CNCNCC3=NCC3CNCC | pIC50: 4.21 | T=1.2 | k=10
